OSM_id,Time Penalty
1112226,-4.098835000000001
1115032,-9.475334
1115036,-4.9865010000000005
162356,-5.391660000000001
163730,-5.371002000000001
167408,-6.058167999999999
1734859,-8.002163000000001
197615,-10.180334
198578,-13.087328
198593,-5.0884990000000005
198601,-7.781163
199138,-4.690501
215963,-1.199005
215966,-5.852665999999999
215969,-11.048335
215978,-7.498337000000001
215980,-10.127669
215982,-6.153336
215983,-5.587319000000001
225482,-1.5481610000000003
225491,-4.678991000000001
225492,-4.140003
225493,-14.036337
225494,-18.030829
225495,-7.716328999999998
225496,7.282000999999999
237802,-6.3126690000000005
238957,-2.825332999999999
275075,-14.516334000000002
275086,-6.502991999999999
275096,-11.490836
324303,-7.799841999999999
324307,-8.716993999999998
324314,-12.021499999999998
338875,-11.021335
385683,-23.468998000000003
393359,-6.984332
393689,-5.302828000000001
403139,-6.031833000000001
408102,-25.724505
408592,-8.583167999999999
409070,-11.986501000000002
412432,-8.143999999999998
413391,-6.211994
413450,-4.657003
413539,-6.714506
414726,-3.875833000000001
414751,-4.917171
414755,-4.730826
414796,-16.102004
414829,-9.453001
416276,-8.734834000000001
417339,-6.9396650000000015
417461,-4.640337
418112,-5.225333000000002
418253,-9.072839000000002
418324,3.821992
418327,-2.63783
418329,-8.798671
418333,-10.164503
418338,6.587838
418340,8.209332
418341,3.874335
418358,-15.302672000000005
418434,-6.209172
418438,-16.594165
418607,-3.579331
418608,-5.572993000000001
418610,-4.946508
418613,1.396
418614,-7.472828999999999
418615,-11.710838
418616,-14.251168
418617,-7.7041650000000015
418618,-12.466663999999998
418619,-19.249502000000003
418620,-6.284498999999999
418622,-7.659668
418623,-11.333166
423062,-4.997163
443584,-5.191164
443585,-6.240498999999999
443587,-6.991504
444332,-6.985169
444912,-14.977174
450108,-12.055001999999996
450117,-7.393671
450118,-7.534668999999999
450123,-8.827829
451778,-8.18033
451798,-9.031995
451803,-3.295838000000001
452192,-12.1155
452194,-12.153675
452196,-16.037668999999998
452198,-1.402505
452200,-9.908831
452205,-11.103832
452389,-14.571833
452413,-10.712324999999998
452414,-7.235499
452418,-9.973827
452419,-7.242834
452969,-9.044004
454863,-17.172668
454865,-12.991502
454874,-4.672333
454876,-6.153336
455491,-8.135831
532030,-10.358327
533536,-11.163169999999996
535888,-7.152828
535891,-7.796334000000002
535894,-6.721663
535895,-12.1885
535896,-4.982662999999999
535898,-4.854506
535899,5.849497999999999
535900,-6.459334
535927,-8.462332
535928,-12.336169
535930,3.377502
535933,3.714168
535934,7.814165999999999
535936,-5.985826
535937,9.172501000000002
535938,-25.204837
535941,-19.377837
535942,-13.441674000000004
537050,-13.585834
537051,-4.643335
537055,-6.216500999999998
537056,-7.9883380000000015
537059,-11.827168
537060,-16.463167000000002
537062,-8.463
537067,-8.397331000000001
549412,-11.732497000000002
549419,-4.8641630000000005
55158,5.955498000000002
659742,-6.075836999999999
659745,-6.710998000000001
659746,-4.219998
659747,-5.696663000000002
659748,-8.521998
659749,-9.027493
659750,-6.788499000000001
659751,-9.230174
659752,-5.375667
7876002,-14.744661999999996
